year,country,country_name,finishers
2013,FR,France,1233
2013,CH,Suisse,8
2013,,RE,2
2013,DE,Allemagne,2
2013,IT,Italie,2
2013,,,1
2013,ES,Espagne,1
2013,LU,Luxembourg,1
2013,SE,Suède,1
2014,,,1809
2014,FR,France,2
2015,,,815
2016,,,1628
2016,FR,France,5
2017,,,1284
2018,FR,France,1685
2018,,,6
2018,,Japanese,2
2018,CH,Suisse,2
2018,DE,Allemagne,2
2018,IT,Italie,2
2018,NL,Pays-Bas,2
2018,,American,1
2018,,Argentinean,1
2018,,Austrian,1
2018,,British,1
2018,,Egyptian,1
2018,,Fijian,1
2018,,Indian,1
2018,,Panamanian,1
2018,PT,Portugal,1
2019,FR,France,1456
2019,,English,6
2019,,,4
2019,,British,3
2019,BE,Belgique,3
2019,DE,Allemagne,3
2019,IT,Italie,3
2019,PT,Portugal,3
2019,,American,2
2019,NL,Pays-Bas,2
2019,,Australian,1
2019,,Mexican,1
2019,,New Zealander,1
2019,,Russian,1
2021,FR,France,1143
2021,AF,Afghanistan,4
2021,CH,Suisse,3
2021,GB,Royaume-Uni,3
2021,DE,Allemagne,2
2021,PT,Portugal,2
2021,US,Etats-Unis,2
2021,BE,Belgique,1
2021,IE,Irlande,1
2021,IT,Italie,1
2021,MG,Madagascar,1
2021,RO,Roumanie,1
2022,FR,France,1885
2022,BE,Belgique,21
2022,GB,Royaume-Uni,12
2022,ES,Espagne,11
2022,PT,Portugal,7
2022,IT,Italie,5
2022,DE,Allemagne,4
2022,AF,Afghanistan,3
2022,AU,Australie,3
2022,CA,Canada,3
2022,CH,Suisse,3
2022,AR,Argentine,2
2022,CL,Chili,2
2022,PL,Pologne,2
2022,US,Etats-Unis,2
2022,CN,Chine,1
2022,EC,Equateur,1
2022,JP,Japon,1
2022,NE,Niger,1
2022,NL,Pays-Bas,1
2022,PH,Philippines,1
2022,RO,Roumanie,1
2022,RU,Russie,1
2022,TN,Tunisie,1
2022,TR,Turquie,1
2022,UA,Ukraine,1
2022,VE,Venezuela,1
2023,FR,France,2972
2023,BE,Belgique,40
2023,ES,Espagne,30
2023,CH,Suisse,17
2023,IT,Italie,15
2023,PT,Portugal,12
2023,,,10
2023,NL,Pays-Bas,10
2023,DE,Allemagne,9
2023,GB,Royaume-Uni,8
2023,RO,Roumanie,6
2023,AR,Argentine,5
2023,CA,Canada,4
2023,MA,Maroc,4
2023,PL,Pologne,4
2023,SG,Singapour,4
2023,EC,Equateur,3
2023,GR,Grèce,3
2023,TR,Turquie,3
2023,ZA,Afrique du Sud,3
2023,CM,Cameroun,2
2023,CN,Chine,2
2023,IE,Irlande,2
2023,IN,Inde,2
2023,SE,Suède,2
2023,UA,Ukraine,2
2023,US,Etats-Unis,2
2023,BR,Brésil,1
2023,BY,Biélorussie,1
2023,CL,Chili,1
2023,CO,Colombie,1
2023,DZ,Algérie,1
2023,HR,Croatie,1
2023,HU,Hongrie,1
2023,IL,Israël,1
2023,JP,Japon,1
2023,KR,Corée du Sud,1
2023,LK,Sri Lanka,1
2023,LT,Lituanie,1
2023,LU,Luxembourg,1
2023,MX,Mexique,1
2023,PS,Palestine,1
2023,SA,Arabie Saoudite,1
2023,TN,Tunisie,1
2023,TO,Tonga,1
2023,VN,Viêt Nam,1
2024,FR,France,3870
2024,BE,Belgique,67
2024,GB,Royaume-Uni,44
2024,ES,Espagne,35
2024,NL,Pays-Bas,31
2024,CH,Suisse,24
2024,CA,Canada,16
2024,IT,Italie,14
2024,DE,Allemagne,13
2024,US,Etats-Unis,8
2024,PT,Portugal,7
2024,AR,Argentine,6
2024,AU,Australie,5
2024,CN,Chine,5
2024,DK,Danemark,5
2024,NZ,Nouvelle-Zélande,5
2024,DZ,Algérie,3
2024,JP,Japon,3
2024,MX,Mexique,3
2024,NO,Norvège,3
2024,PL,Pologne,3
2024,SE,Suède,3
2024,IE,Irlande,2
2024,LV,Lettonie,2
2024,MA,Maroc,2
2024,RO,Roumanie,2
2024,SI,Slovénie,2
2024,,,1
2024,AF,Afghanistan,1
2024,AL,Albanie,1
2024,AM,Arménie,1
2024,AN,Athlète Neutre,1
2024,BR,Brésil,1
2024,CL,Chili,1
2024,CM,Cameroun,1
2024,CZ,République tchèque,1
2024,GR,Grèce,1
2024,HK,"Hong Kong, Chine",1
2024,ID,Indonésie,1
2024,IN,Inde,1
2024,LT,Lituanie,1
2024,LU,Luxembourg,1
2024,MD,Moldavie,1
2024,NE,Niger,1
2024,PE,Pérou,1
2024,SG,Singapour,1
2024,UA,Ukraine,1
2024,VN,Viêt Nam,1
2024,ZA,Afrique du Sud,1
