geo,year,interest_mean,language
BR,2004,61.67,Portuguese-BR
BR,2005,50.25,Portuguese-BR
BR,2006,42.83,Portuguese-BR
BR,2007,29.92,Portuguese-BR
BR,2008,21.5,Portuguese-BR
BR,2009,21.58,Portuguese-BR
BR,2010,19.33,Portuguese-BR
BR,2011,18.83,Portuguese-BR
BR,2012,17.5,Portuguese-BR
BR,2013,17.75,Portuguese-BR
BR,2014,20.17,Portuguese-BR
BR,2015,20.0,Portuguese-BR
BR,2016,19.67,Portuguese-BR
BR,2017,21.83,Portuguese-BR
BR,2018,19.08,Portuguese-BR
BR,2019,19.0,Portuguese-BR
BR,2020,11.42,Portuguese-BR
BR,2021,10.83,Portuguese-BR
BR,2022,13.17,Portuguese-BR
BR,2023,13.75,Portuguese-BR
BR,2024,14.42,Portuguese-BR
DE,2004,45.42,German
DE,2005,35.17,German
DE,2006,51.08,German
DE,2007,75.58,German
DE,2008,53.0,German
DE,2009,41.83,German
DE,2010,42.58,German
DE,2011,50.42,German
DE,2012,51.58,German
DE,2013,47.5,German
DE,2014,50.83,German
DE,2015,49.92,German
DE,2016,51.58,German
DE,2017,53.17,German
DE,2018,58.17,German
DE,2019,54.08,German
DE,2020,42.58,German
DE,2021,35.42,German
DE,2022,42.67,German
DE,2023,42.92,German
DE,2024,38.08,German
ES,2004,70.83,Spanish
ES,2005,31.67,Spanish
ES,2006,27.0,Spanish
ES,2007,22.92,Spanish
ES,2008,21.42,Spanish
ES,2009,24.5,Spanish
ES,2010,34.25,Spanish
ES,2011,24.58,Spanish
ES,2012,22.92,Spanish
ES,2013,25.33,Spanish
ES,2014,26.75,Spanish
ES,2015,26.92,Spanish
ES,2016,24.58,Spanish
ES,2017,26.5,Spanish
ES,2018,24.67,Spanish
ES,2019,24.58,Spanish
ES,2020,15.92,Spanish
ES,2021,24.33,Spanish
ES,2022,28.58,Spanish
ES,2023,25.08,Spanish
ES,2024,23.92,Spanish
FR,2004,27.58,French
FR,2005,29.67,French
FR,2006,29.08,French
FR,2007,22.58,French
FR,2008,24.58,French
FR,2009,30.33,French
FR,2010,29.5,French
FR,2011,32.0,French
FR,2012,31.67,French
FR,2013,40.92,French
FR,2014,40.33,French
FR,2015,45.17,French
FR,2016,39.83,French
FR,2017,41.67,French
FR,2018,44.17,French
FR,2019,49.83,French
FR,2020,46.75,French
FR,2021,51.25,French
FR,2022,56.83,French
FR,2023,62.92,French
FR,2024,54.17,French
GB,2004,8.42,English-UK
GB,2005,7.0,English-UK
GB,2006,12.0,English-UK
GB,2007,11.75,English-UK
GB,2008,9.0,English-UK
GB,2009,12.42,English-UK
GB,2010,15.83,English-UK
GB,2011,20.0,English-UK
GB,2012,26.0,English-UK
GB,2013,23.33,English-UK
GB,2014,23.42,English-UK
GB,2015,26.67,English-UK
GB,2016,24.67,English-UK
GB,2017,27.25,English-UK
GB,2018,37.33,English-UK
GB,2019,35.67,English-UK
GB,2020,21.92,English-UK
GB,2021,20.25,English-UK
GB,2022,32.08,English-UK
GB,2023,39.75,English-UK
GB,2024,41.5,English-UK
IT,2004,27.83,Italian
IT,2005,31.17,Italian
IT,2006,28.0,Italian
IT,2007,24.17,Italian
IT,2008,23.0,Italian
IT,2009,20.67,Italian
IT,2010,23.75,Italian
IT,2011,22.08,Italian
IT,2012,27.5,Italian
IT,2013,43.17,Italian
IT,2014,42.75,Italian
IT,2015,44.25,Italian
IT,2016,45.5,Italian
IT,2017,40.75,Italian
IT,2018,40.33,Italian
IT,2019,40.92,Italian
IT,2020,25.25,Italian
IT,2021,27.5,Italian
IT,2022,41.33,Italian
IT,2023,35.92,Italian
IT,2024,31.5,Italian
KR,2004,0.0,Korean
KR,2005,0.0,Korean
KR,2006,0.0,Korean
KR,2007,0.0,Korean
KR,2008,0.0,Korean
KR,2009,0.0,Korean
KR,2010,0.0,Korean
KR,2011,2.58,Korean
KR,2012,17.25,Korean
KR,2013,14.17,Korean
KR,2014,18.67,Korean
KR,2015,19.08,Korean
KR,2016,16.42,Korean
KR,2017,24.58,Korean
KR,2018,27.83,Korean
KR,2019,44.17,Korean
KR,2020,15.08,Korean
KR,2021,14.75,Korean
KR,2022,25.08,Korean
KR,2023,24.75,Korean
KR,2024,21.42,Korean
PT,2004,0.0,Portuguese
PT,2005,8.33,Portuguese
PT,2006,14.5,Portuguese
PT,2007,11.92,Portuguese
PT,2008,20.08,Portuguese
PT,2009,20.67,Portuguese
PT,2010,30.92,Portuguese
PT,2011,30.42,Portuguese
PT,2012,36.67,Portuguese
PT,2013,37.67,Portuguese
PT,2014,40.92,Portuguese
PT,2015,46.0,Portuguese
PT,2016,47.0,Portuguese
PT,2017,51.83,Portuguese
PT,2018,53.75,Portuguese
PT,2019,66.25,Portuguese
PT,2020,34.67,Portuguese
PT,2021,47.5,Portuguese
PT,2022,58.42,Portuguese
PT,2023,57.83,Portuguese
PT,2024,50.25,Portuguese
US,2004,24.0,English-US
US,2005,19.08,English-US
US,2006,16.83,English-US
US,2007,15.08,English-US
US,2008,15.83,English-US
US,2009,18.67,English-US
US,2010,21.25,English-US
US,2011,26.67,English-US
US,2012,69.25,English-US
US,2013,51.17,English-US
US,2014,49.75,English-US
US,2015,55.25,English-US
US,2016,46.5,English-US
US,2017,45.83,English-US
US,2018,46.92,English-US
US,2019,48.58,English-US
US,2020,30.92,English-US
US,2021,33.5,English-US
US,2022,53.58,English-US
US,2023,65.42,English-US
US,2024,67.75,English-US
